DATE,10*2M1,5Q_LAG
1967/10/2,5.41,-0.180965714
1967/10/3,5.41,-0.180965714
1967/10/4,5.43,-0.180965714
1967/10/5,5.43,-0.180965714
1967/10/6,5.44,-0.180965714
1967/10/9,5.48,-0.180965714
1967/10/10,5.51,-0.370002857
1967/10/11,5.5,-0.370002857
1967/10/13,5.55,-0.370002857
1967/10/16,5.57,-0.370002857
1967/10/17,5.57,-0.370002857
1967/10/18,5.63,-0.370002857
1967/10/19,5.63,-0.370002857
1967/10/20,5.63,-0.370002857
1967/10/23,5.71,-0.370002857
1967/10/24,5.7,-0.370002857
1967/10/25,5.72,-0.370002857
1967/10/26,5.72,-0.370002857
1967/10/27,5.71,-0.370002857
1967/10/30,5.77,-0.370002857
1967/10/31,5.81,-0.370002857
1967/11/1,5.9,-0.370002857
1967/11/2,5.91,-0.370002857
1967/11/3,5.94,-0.370002857
1967/11/6,5.92,-0.370002857
1967/11/8,5.86,-0.370002857
1967/11/9,5.92,-0.370002857
1967/11/10,6.02,-0.370002857
1967/11/13,6.06,-0.370002857
1967/11/14,5.99,-0.370002857
1967/11/15,5.96,-0.370002857
1967/11/16,5.88,-0.370002857
1967/11/17,5.94,-0.370002857
1967/11/20,5.98,-0.370002857
1967/11/21,5.8,-0.370002857
1967/11/22,5.82,-0.370002857
1967/11/24,5.93,-0.370002857
1967/11/27,5.89,-0.370002857
1967/11/28,5.7,-0.370002857
1967/11/29,5.74,-0.370002857
1967/11/30,5.83,-0.370002857
1967/12/1,5.86,-0.370002857
1967/12/4,5.79,-0.370002857
1967/12/5,5.77,-0.370002857
1967/12/6,5.68,-0.370002857
1967/12/7,5.73,-0.370002857
1967/12/8,5.74,-0.370002857
1967/12/11,5.77,-0.370002857
1967/12/12,5.79,-0.370002857
1967/12/13,5.73,-0.370002857
1967/12/14,5.71,-0.370002857
1967/12/15,5.7,-0.370002857
1967/12/18,5.65,-0.370002857
1967/12/19,5.64,-0.370002857
1967/12/20,5.56,-0.370002857
1967/12/21,5.58,-0.370002857
1967/12/22,5.65,-0.370002857
1967/12/26,5.56,-0.370002857
1967/12/27,5.58,-0.370002857
1967/12/28,5.64,-0.370002857
1967/12/29,5.64,-0.370002857
1968/1/2,5.55,-0.370002857
1968/1/3,5.58,-0.370002857
1968/1/4,5.43,-0.370002857
1968/1/5,5.41,-0.370002857
1968/1/8,5.45,-0.370002857
1968/1/9,5.49,-0.370002857
1968/1/10,5.47,-0.584585714
1968/1/11,5.54,-0.584585714
1968/1/12,5.49,-0.584585714
1968/1/15,5.64,-0.584585714
1968/1/16,5.71,-0.584585714
1968/1/17,5.66,-0.584585714
1968/1/18,5.74,-0.584585714
1968/1/19,5.78,-0.584585714
1968/1/22,5.81,-0.584585714
1968/1/23,5.75,-0.584585714
1968/1/24,5.75,-0.584585714
1968/1/25,5.71,-0.584585714
1968/1/26,5.69,-0.584585714
1968/1/29,5.75,-0.584585714
1968/1/30,5.71,-0.584585714
1968/1/31,5.72,-0.584585714
1968/2/1,5.79,-0.584585714
1968/2/2,5.8,-0.584585714
1968/2/5,5.8,-0.584585714
1968/2/6,5.8,-0.584585714
1968/2/7,5.76,-0.584585714
1968/2/8,5.75,-0.584585714
1968/2/9,5.73,-0.584585714
1968/2/13,5.69,-0.584585714
1968/2/14,5.67,-0.584585714
1968/2/15,5.6,-0.584585714
1968/2/16,5.63,-0.584585714
1968/2/19,5.65,-0.584585714
1968/2/20,5.67,-0.584585714
1968/2/21,5.67,-0.584585714
1968/2/23,5.71,-0.584585714
1968/2/26,5.72,-0.584585714
1968/2/27,5.71,-0.584585714
1968/2/28,5.7,-0.584585714
1968/2/29,5.69,-0.584585714
1968/3/1,5.69,-0.584585714
1968/3/4,5.7,-0.584585714
1968/3/5,5.74,-0.584585714
1968/3/6,5.77,-0.584585714
1968/3/7,5.85,-0.584585714
1968/3/8,5.97,-0.584585714
1968/3/11,5.97,-0.584585714
1968/3/12,6.03,-0.584585714
1968/3/13,6.1,-0.584585714
1968/3/14,6.16,-0.584585714
1968/3/15,5.99,-0.584585714
1968/3/18,5.85,-0.584585714
1968/3/19,5.87,-0.584585714
1968/3/20,5.81,-0.584585714
1968/3/21,5.87,-0.584585714
1968/3/22,5.84,-0.584585714
1968/3/25,5.86,-0.584585714
1968/3/26,5.95,-0.584585714
1968/3/27,5.96,-0.584585714
1968/3/28,5.96,-0.584585714
1968/3/29,5.93,-0.584585714
1968/4/1,5.74,-0.584585714
1968/4/2,5.72,-0.584585714
